,Entity,Code,Year,Deaths - All causes - Sex: Both - Age: Under 5 (Number),Deaths - All causes - Sex: Both - Age: 70+ years (Number),Deaths - All causes - Sex: Both - Age: 50-69 years (Number),Deaths - All causes - Sex: Both - Age: 5-14 years (Number),Deaths - All causes - Sex: Both - Age: 15-49 years (Number)
6356,World,OWID_WRL,1990,11770583.455492131,15553455.514249625,10835045.41826722,1320668.5800183916,6998561.158948356
6357,World,OWID_WRL,1991,11605389.936601188,15897497.69029282,10997536.202378482,1360630.8154676924,7215875.776911156
6358,World,OWID_WRL,1992,11366185.458760206,16219133.4352936,11163428.522008251,1339851.9705247572,7409313.340420498
6359,World,OWID_WRL,1993,11152128.813405572,16675696.487358734,11394619.587594118,1341331.4075031572,7677472.696516561
6360,World,OWID_WRL,1994,11008787.481492711,17013628.82951119,11561078.374342095,1392302.849460482,8219800.586291847
6361,World,OWID_WRL,1995,10758898.914060164,17331268.106894862,11560626.820696224,1304178.8301315173,8128532.27991188
6362,World,OWID_WRL,1996,10529502.850882398,17585233.0673801,11550433.071769362,1282067.9795350835,8229901.69836053
6363,World,OWID_WRL,1997,10331454.125072047,17940312.20927414,11603794.258072514,1270317.696111295,8364786.178053417
6364,World,OWID_WRL,1998,10133485.494580302,18362365.10422821,11590584.45662508,1247279.287765779,8500694.081231974
6365,World,OWID_WRL,1999,9914475.448613215,18785361.981783345,11616913.282430535,1221068.0062647471,8745663.355943875
6366,World,OWID_WRL,2000,9680867.04812827,19172223.61716673,11681476.812032416,1187037.793160223,8820399.506463738
6367,World,OWID_WRL,2001,9419629.483208751,19574557.758293964,11771457.545903368,1151410.5342881875,8745273.000546947
6368,World,OWID_WRL,2002,9168958.176711522,20071980.663596813,11948900.30976218,1075229.2747454064,8741064.356150568
6369,World,OWID_WRL,2003,8896686.820964983,20538529.851569824,12121358.860027071,1013790.1680591695,8683792.03216845
6370,World,OWID_WRL,2004,8654217.240373926,20693269.052118853,12144805.725409148,1048991.117899805,8785639.427152539
6371,World,OWID_WRL,2005,8382982.614664938,21060053.04775937,12211203.910575189,1017887.6586239748,8751136.093629185
6372,World,OWID_WRL,2006,8116644.544374688,21228700.551838662,12151931.56717236,966975.6016701844,8642137.724722378
6373,World,OWID_WRL,2007,7854038.325492501,21618352.41161389,12227540.851242678,936657.6166652548,8570431.378782596
6374,World,OWID_WRL,2008,7615344.441233789,22255375.634846047,12407020.121886458,949579.7460784502,8676241.563067082
6375,World,OWID_WRL,2009,7354972.372119967,22829369.91204879,12467500.00051979,911628.2812862664,8508622.723841084
6376,World,OWID_WRL,2010,7144787.838141878,23482954.3181602,12713654.290924458,945795.9707912594,8551119.092532743
6377,World,OWID_WRL,2011,6890950.701644847,23946781.841865208,12872084.19857208,889229.5474023214,8294948.793858715
6378,World,OWID_WRL,2012,6652497.0398802,24319611.04792805,13154911.974673703,862999.7301001155,8112426.392085723
6379,World,OWID_WRL,2013,6405371.44908977,24602902.502078988,13477329.367069786,838898.4828401721,7949361.639317189
6380,World,OWID_WRL,2014,6170685.549580859,25136329.397431817,13947470.015924187,816867.2820785041,7864767.521325691
6381,World,OWID_WRL,2015,5917284.964794394,25893490.232813872,14502428.092321329,775067.5269561026,7733922.246971665
6382,World,OWID_WRL,2016,5632709.153250345,26552330.82395234,14884237.445594594,754468.9130594952,7685805.980730138
6383,World,OWID_WRL,2017,5391562.258603586,27209765.403298367,14998634.703540783,731743.3678053044,7614024.001961451
